Gamma_e,delta_a,peak_index,peak_position
0.0316,14.5,0,-7.249982804220874
0.0316,14.5,1,7.249437160034593
0.0316,15.0,0,-7.499983376065017
0.0316,15.0,1,7.499455971796657
0.0316,15.5,0,-7.7499839111408
0.0316,15.5,1,7.749473565263155
0.0316,16.0,0,-7.999984412880941
0.0316,16.0,1,7.999490055179185
0.0316,16.5,0,-8.24998488430418
0.0316,16.5,1,8.249505542345428
0.0316,17.0,0,-8.499985328075809
0.0316,17.0,1,8.499520115613285
0.0316,17.5,0,-8.749985746557892
0.0316,17.5,1,8.749533853608536
0.0316,18.0,0,-8.999986141851151
0.0316,18.0,1,8.999546826226698
0.0316,18.5,0,-9.249986515830123
0.0316,18.5,1,9.249559095751302
0.0316,19.0,0,-9.499986870172776
0.0316,19.0,1,9.49957071787759
0.0316,19.5,0,-9.749987206385606
0.0316,19.5,1,9.74958174255504
0.0316,20.0,0,-9.999987525824972
0.0316,20.0,1,9.99959221474208
0.0316,20.5,0,-10.249987829715343
0.0316,20.5,1,10.249602174983304
0.0316,21.0,0,-10.499988119164938
0.0316,21.0,1,10.499611659950256
0.0316,21.5,0,-10.74998839517076
0.0316,21.5,1,10.74962070288854
0.0316,22.0,0,-10.999988658648537
0.0316,22.0,1,10.999629333993655
0.0316,22.5,0,-11.249988910436326
0.0316,22.5,1,11.249637580802114
0.0316,23.0,0,-11.499989151295084
0.0316,23.0,1,11.499645468435853
0.0316,23.5,0,-11.749989381921166
0.0316,23.5,1,11.749653019872294
0.0316,24.0,0,-11.999989602953034
0.0316,24.0,1,11.99966055642679
0.0316,24.5,0,-12.24998981497715
0.0316,24.5,1,12.249667196661052
0.0562,0.5,0,-0.24923435938791333
0.0562,1.0,0,-0.4993745929906244
0.0562,1.0,1,0.4797351981072867
0.0562,1.5,0,-0.7495285608193164
0.0562,1.5,1,0.738582976041156
0.0562,2.0,0,-0.9996328377515998
0.0562,2.0,1,0.9919491179805687
0.0562,2.5,0,-1.2496962581261009
0.0562,2.5,1,1.2437419910872023
0.0562,3.0,0,-1.4997428885726451
0.0562,3.0,1,1.4948678364775507
0.0562,3.5,0,-1.749780618955972
0.0562,3.5,1,1.7456434639045941
0.0562,4.0,0,-1.9998057938230231
0.0562,4.0,1,1.9962128331264957
0.0562,4.5,0,-2.2498267835489165
0.0562,4.5,1,2.246647551263262
0.0562,5.0,0,-2.4998436688798833
0.0562,5.0,1,2.4969921860968265
0.0562,5.5,0,-2.7498569203284107
0.0562,5.5,1,2.747271932332921
0.0562,6.0,0,-2.9998693537562136
0.0562,6.0,1,2.9975036658690883
0.0562,6.5,0,-3.2498792738484985
0.0562,6.5,1,3.2476988464078533
0.0562,7.0,0,-3.4998878014256642
0.0562,7.0,1,3.4978655377906676
0.0562,7.5,0,-3.74989621555004
0.0562,7.5,1,3.748009583880331
0.0562,8.0,0,-3.999901703009358
0.0562,8.0,1,3.9981353261093107
0.0562,8.5,0,-4.249907441872612
0.0562,8.5,1,4.248246058718562
0.0562,9.0,0,-4.499912549626633
0.0562,9.0,1,4.4983443274927115
0.0562,9.5,0,-4.749917487879966
0.0562,9.5,1,4.7484321315328595
0.0562,10.0,0,-4.999921246236134
0.0562,10.0,1,4.99851106295363
0.0562,10.5,0,-5.249924978232368
0.0562,10.5,1,5.248582405584232
0.0562,11.0,0,-5.499928373365687
0.0562,11.0,1,5.498647206414724
0.0562,11.5,0,-5.749931474690482
0.0562,11.5,1,5.748706327846005
0.0562,12.0,0,-5.99993431924808
0.0562,12.0,1,5.998761845221451
0.0562,12.5,0,-6.249936937435473
0.0562,12.5,1,6.2488102841130795
0.0562,13.0,0,-6.499939355199418
0.0562,13.0,1,6.498856227240623
0.0562,13.5,0,-6.749941594672877
0.0562,13.5,1,6.748898747779512
0.0562,14.0,0,-6.99994367484997
0.0562,14.0,1,6.998936607274777
0.0562,14.5,0,-7.24994561212263
0.0562,14.5,1,7.248974946980239
0.0562,15.0,0,-7.499947420710969
0.0562,15.0,1,7.4990092188379665
0.0562,15.5,0,-7.74995073224453
0.0562,15.5,1,7.7490412701081155
0.0562,16.0,0,-7.999949142962096
0.0562,16.0,1,7.999071310018159
0.0562,16.5,0,-8.24995219085761
0.0562,16.5,1,8.24909952244084
0.0562,17.0,0,-8.49995359437871
0.0562,17.0,1,8.499126069396546
0.0562,17.5,0,-8.749954917910804
0.0562,17.5,1,8.749151094234001
0.0562,18.0,0,-8.999956168097137
0.0562,18.0,1,8.999174724385302
0.0562,18.5,0,-9.249957350865696
0.0562,18.5,1,9.24919707338348
0.0562,19.0,0,-9.49995847152287
0.0562,19.0,1,9.499218242773209
0.0562,19.5,0,-9.749959534832806
0.0562,19.5,1,9.749238323623244
0.0562,20.0,0,-9.999960545084878
0.0562,20.0,1,9.999257397804104
0.0562,20.5,0,-10.249961506151369
0.0562,20.5,1,10.249275539276958
0.0562,21.0,0,-10.499962421536933
0.0562,21.0,1,10.499292814870651
0.0562,21.5,0,-10.749963294421189
0.0562,21.5,1,10.749309285142218
0.0562,22.0,0,-10.999964127695517
0.0562,22.0,1,10.999325005190979
0.0562,22.5,0,-11.249964923994993
0.0562,22.5,1,11.249340025168621
0.0562,23.0,0,-11.499965685726153
0.0562,23.0,1,11.499354390831
0.0562,23.5,0,-11.74996641509123
0.0562,23.5,1,11.749368144021055
0.0562,24.0,0,-11.999967114109378
0.0562,24.0,1,11.999381323147853
0.0562,24.5,0,-12.249967784635308
0.0562,24.5,1,12.249393963439175
0.1,0.5,0,-0.24763989899886502
0.1,1.0,0,-0.4980412463238244
0.1,1.0,1,0.45939641543107107
0.1,1.5,0,-0.7485152284214401
0.1,1.5,1,0.7281783473171813
0.1,2.0,0,-0.9988328297515198
0.1,2.0,1,0.9848190612536998
0.1,2.5,0,-1.2490428460310523
0.1,2.5,1,1.2382769341601572
0.1,3.0,0,-1.499190456305313
0.1,3.0,1,1.4904173307779982
0.1,3.5,0,-1.7493012762342341
0.1,3.5,1,1.7418827361624751
0.1,4.0,0,-1.99938604132608
0.1,4.0,1,1.992950702137139
0.1,4.5,0,-2.2494518265313896
0.1,4.5,1,2.243766676340704
0.1,5.0,0,-2.4995053943771617
0.1,5.0,1,2.4944110117407154
0.1,5.5,0,-2.749549514616784
0.1,5.5,1,2.7449331996332385
0.1,6.0,0,-2.99958646477851
0.1,6.0,1,2.9953652471258265
0.1,6.5,0,-3.249618224606093
0.1,6.5,1,3.2457288084691673
0.1,7.0,0,-3.4996448330500196
0.1,7.0,1,3.4960390772496788
0.1,7.5,0,-3.7496682740260345
0.1,7.5,1,3.7463060685297007
0.1,8.0,0,-3.9996888253057805
0.1,8.0,1,3.996540839911698
0.1,8.5,0,-4.249706987609669
0.1,8.5,1,4.246746651700985
0.1,9.0,0,-4.499723153629686
0.1,9.0,1,4.4969292380076835
0.1,9.5,0,-4.749737634473546
0.1,9.5,1,4.747092377873478
0.1,10.0,0,-4.999750679324267
0.1,10.0,1,4.99723891768781
0.1,10.5,0,-5.2497624917925805
0.1,10.5,1,5.247371380183102
0.1,11.0,0,-5.4997732378151065
0.1,11.0,1,5.497491675492143
0.1,11.5,0,-5.749783055673381
0.1,11.5,1,5.7476014110253875
0.1,12.0,0,-5.999792060494356
0.1,12.0,1,5.997701922349157
0.1,12.5,0,-6.249800348202431
0.1,12.5,1,6.247794328346474
0.1,13.0,0,-6.49980800174999
0.1,13.0,1,6.497879573616119
0.1,13.5,0,-6.749815091073426
0.1,13.5,1,6.747958461150108
0.1,14.0,0,-6.999821676283103
0.1,14.0,1,6.998031677970818
0.1,14.5,0,-7.249827809256316
0.1,14.5,1,7.248100066091497
0.1,15.0,0,-7.49983353477805
0.1,15.0,1,7.498163385242691
0.1,15.5,0,-7.7498388921683405
0.1,15.5,1,7.748222832545861
0.1,16.0,0,-7.999843915852216
0.1,16.0,1,7.9982785463721076
0.1,16.5,0,-8.249847321938589
0.1,16.5,1,8.248330868174543
0.1,17.0,0,-8.499853079421857
0.1,17.0,1,8.498380099061997
0.1,17.5,0,-8.749857269628617
0.1,17.5,1,8.748426505280419
0.1,18.0,0,-8.999861227692431
0.1,18.0,1,8.998470323574516
0.1,18.5,0,-9.249864972377665
0.1,18.5,1,9.248511764690575
0.1,19.0,0,-9.499868520481412
0.1,19.0,1,9.498551017245914
0.1,19.5,0,-9.749871887084588
0.1,19.5,1,9.74858825035564
0.1,20.0,0,-9.999875085765483
0.1,20.0,1,9.998623615951331
0.1,20.5,0,-10.249878127836615
0.1,20.5,1,10.248657251373853
0.1,21.0,0,-10.499881025912154
0.1,21.0,1,10.498689280671863
0.1,21.5,0,-10.749883789434655
0.1,21.5,1,10.748719816177688
0.1,22.0,0,-10.999886427556973
0.1,22.0,1,10.998748960194852
0.1,22.5,0,-11.249888948620677
0.1,22.5,1,11.248776805764003
0.1,23.0,0,-11.499891360243902
0.1,23.0,1,11.498803437870901
0.1,23.5,0,-11.749893669398126
0.1,23.5,1,11.74882893416403
0.1,24.0,0,-11.999895882475274
0.1,24.0,1,11.998853365771396
0.1,24.5,0,-12.249898005346699
0.1,24.5,1,12.248876798171777
0.1778,0.5,0,-0.24293429638728334
0.1778,1.0,0,-0.4939045309975734
0.1778,1.0,1,0.4078514555370276
0.1778,1.5,0,-0.7453363878301699
0.1778,1.5,1,0.7059447916482914
0.1778,2.0,0,-0.9963152091071467
0.1778,2.0,1,0.9701782667144145
0.1778,2.5,0,-1.2469773605507581
0.1778,2.5,1,1.2272337205581774
0.1778,3.0,0,-1.4974458810831046
0.1778,3.0,1,1.4815060173260897
0.1778,3.5,0,-1.7477939064729648
0.1778,3.5,1,1.7343909155739525
0.1778,4.0,0,-1.9980597267461127
0.1778,4.0,1,1.986476039516951
0.1778,4.5,0,-2.2482682946145425
0.1778,4.5,1,2.2380625505198304
0.1778,5.0,0,-2.4984373044353263
0.1778,5.0,1,2.4893077090437563
0.1778,5.5,0,-2.7485769482819684
0.1778,5.5,1,2.7403149629261137
0.1778,6.0,0,-2.9986932141437497
0.1778,6.0,1,2.9911456493216595
0.1778,6.5,0,-3.248792321711914
0.1778,6.5,1,3.241845136576687
0.1778,7.0,0,-3.4988775406148345
0.1778,7.0,1,3.492440542821482
0.1778,7.5,0,-3.7489515842649337
0.1778,7.5,1,3.7429551630309392
0.1778,8.0,0,-3.999016505475709
0.1778,8.0,1,3.993402025077503
0.1778,8.5,0,-4.249073119373513
0.1778,8.5,1,4.243795943122158
0.1778,9.0,0,-4.499124962875437
0.1778,9.0,1,4.494145555009284
0.1778,9.5,0,-4.7491707174285205
0.1778,9.5,1,4.744457025610094
0.1778,10.0,0,-4.999211938166106
0.1778,10.0,1,4.994737154956653
0.1778,10.5,0,-5.249249265394447
0.1778,10.5,1,5.244990208475624
0.1778,11.0,0,-5.499283224292438
0.1778,11.0,1,5.495219945818477
0.1778,11.5,0,-5.7493142505989425
0.1778,11.5,1,5.745429458995984
0.1778,12.0,0,-5.9993427073637235
0.1778,12.0,1,5.995621314749335
0.1778,12.5,0,-6.249368901151868
0.1778,12.5,1,6.245797661844976
0.1778,13.0,0,-6.4993930898782475
0.1778,13.0,1,6.495960313033722
0.1778,13.5,0,-6.749415496041563
0.1778,13.5,1,6.746110808407815
0.1778,14.0,0,-6.999436309387643
0.1778,14.0,1,6.996250464976864
0.1778,14.5,0,-7.249455692903772
0.1778,14.5,1,7.24638041569742
0.1778,15.0,0,-7.499473789380464
0.1778,15.0,1,7.496501640498355
0.1778,15.5,0,-7.749490722784471
0.1778,15.5,1,7.746614991642561
0.1778,16.0,0,-7.999506601507934
0.1778,16.0,1,7.996721213489834
0.1778,16.5,0,-8.249521521420128
0.1778,16.5,1,8.246820959353515
0.1778,17.0,0,-8.499535565884454
0.1778,17.0,1,8.49691480500803
0.1778,17.5,0,-8.749548809980944
0.1778,17.5,1,8.74700325977954
0.1778,18.0,0,-8.999561320483464
0.1778,18.0,1,8.99708677594729
0.1778,18.5,0,-9.249573156691998
0.1778,18.5,1,9.247165756287803
0.1778,19.0,0,-9.49958437125516
0.1778,19.0,1,9.497240561300734
