Gamma_e,delta_a,delta_f,OmegaA,OmegaB,MuB,peak_index,peak_position
0.0178,14.5,14.4999532653601,0.0260009873758833,1.4627765323471,0.0,1,7.249976632681467
0.0178,15.0,14.999954731003,0.0260261105128134,1.46277703544781,0.0,0,-7.499977365545018
0.0178,15.0,14.999954731003,0.0260261105128134,1.46277703544781,0.0,1,7.499977365501435
0.0178,15.5,15.4999562016935,0.0260260626678055,1.46277685825199,0.0,0,-7.749978100894767
0.0178,15.5,15.4999562016935,0.0260260626678055,1.46277685825199,0.0,1,7.749978100847268
0.0178,16.0,15.9999576770646,0.0260009667978426,1.46277757917483,0.0,0,-7.999978838585218
0.0178,16.0,15.9999576770646,0.0260009667978426,1.46277757917483,0.0,1,7.99997883853242
0.0178,16.5,16.4999589422674,0.0260009726233123,1.46277462704283,0.0,0,-8.249979471191736
0.0178,16.5,16.4999589422674,0.0260009726233123,1.46277462704283,0.0,1,8.249979471134107
0.0178,17.0,16.9999600806171,0.0260261276931663,1.46277742925612,0.0,0,-8.4999800403719
0.0178,17.0,16.9999600806171,0.0260261276931663,1.46277742925612,0.0,1,8.499980040308978
0.0178,17.5,17.4999612425836,0.0260260865343787,1.46277895398897,0.0,0,-8.749980621360905
0.0178,17.5,17.4999612425836,0.0260260865343787,1.46277895398897,0.0,1,8.749980621291632
0.0178,18.0,17.999962286352,0.0260261027551445,1.46277609335908,0.0,0,-8.999981143251201
0.0178,18.0,17.999962286352,0.0260261027551445,1.46277609335908,0.0,1,8.999981143175926
0.0178,18.5,18.4999633021151,0.0260260763784126,1.46277598179355,0.0,0,-9.249981651139192
0.0178,18.5,18.4999633021151,0.0260260763784126,1.46277598179355,0.0,1,9.249981651057116
0.0178,19.0,18.9999643188367,0.0260260670484657,1.4627766392974,0.0,0,-9.499982159506793
0.0178,19.0,18.9999643188367,0.0260260670484657,1.4627766392974,0.0,1,9.499982159418614
0.0178,19.5,19.499965210392,0.026026056315499,1.46277839301566,0.0,0,-9.74998260529161
0.0178,19.5,19.499965210392,0.026026056315499,1.46277839301566,0.0,1,9.749982605195871
0.0178,20.0,19.9999660857834,0.0260260565484913,1.46277778208894,0.0,0,-9.999983042994854
0.0178,20.0,19.9999660857834,0.0260260565484913,1.46277778208894,0.0,1,9.999983042892293
0.0178,20.5,20.4999669069451,0.0260260689959712,1.46277850672308,0.0,0,-10.249983453583686
0.0178,20.5,20.4999669069451,0.0260260689959712,1.46277850672308,0.0,1,10.249983453473359
0.0178,21.0,20.9999676904668,0.0260260656985547,1.46277846984691,0.0,0,-10.499983845352814
0.0178,21.0,20.9999676904668,0.0260260656985547,1.46277846984691,0.0,1,10.499983845233903
0.0178,21.5,21.4999684428372,0.0260260653479591,1.46277703431982,0.0,0,-10.74998422154675
0.0178,21.5,21.4999684428372,0.0260260653479591,1.46277703431982,0.0,1,10.74998422141894
0.0178,22.0,21.9999692051511,0.026000977620966,1.46277629741012,0.0,0,-10.999984602713065
0.0178,22.0,21.9999692051511,0.026000977620966,1.46277629741012,0.0,1,10.999984602575807
0.0178,22.5,22.4999698778484,0.026026057699833,1.46277661687072,0.0,0,-11.249984939071075
0.0178,22.5,22.4999698778484,0.026026057699833,1.46277661687072,0.0,1,11.249984938924186
0.0178,23.0,22.9999705125069,0.0260260920269845,1.46277757715101,0.0,0,-11.499985256410286
0.0178,23.0,22.9999705125069,0.0260260920269845,1.46277757715101,0.0,1,11.499985256253545
0.0178,23.5,23.4999711540572,0.0260260399087398,1.462777748877,0.0,0,-11.749985577195941
0.0178,23.5,23.4999711540572,0.0260260399087398,1.462777748877,0.0,1,11.749985577028442
0.0178,24.0,23.999968682951,0.027327981988548,1.61196336680905,0.0,0,-11.999984341637173
0.0178,24.0,23.999968682951,0.027327981988548,1.61196336680905,0.0,1,11.999984341475825
0.0178,24.5,24.4999723454554,0.0260261009052947,1.46277738056768,0.0,0,-12.249986172917326
0.0178,24.5,24.4999723454554,0.0260261009052947,1.46277738056768,0.0,1,12.24998617272745
0.0316,0.5,0.498706131231011,0.0461346323603882,1.42833496323798,0.0,0,-0.24932305345714678
0.0316,0.5,0.498706131231011,0.0461346323603882,1.42833496323798,0.0,1,0.2493514804457168
0.0316,1.0,0.998126122107857,0.0461805427144453,1.46286260495934,0.0,0,-0.499035194154163
0.0316,1.0,0.998126122107857,0.0461805427144453,1.46286260495934,0.0,1,0.4990651246224399
0.0316,1.5,1.49821887323424,0.0462040076989169,1.49075383143427,0.0,0,-0.7490958870558728
0.0316,1.5,1.49821887323424,0.0462040076989169,1.49075383143427,0.0,1,0.7491091896542447
0.0316,2.0,1.99860828555032,0.0462067222763593,1.488015926488,0.0,0,-0.9993011382243915
0.0316,2.0,1.99860828555032,0.0462067222763593,1.488015926488,0.0,1,0.9993049266276931
0.0316,2.5,2.49898364898751,0.0462004190042225,1.47069231997459,0.0,0,-1.2494912428936198
0.0316,2.5,2.49898364898751,0.0462004190042225,1.47069231997459,0.0,1,1.2494918244930013
0.0316,3.0,2.9992199775993,0.0461940115048511,1.46241928904324,0.0,0,-1.499609937990086
0.0316,3.0,2.9992199775993,0.0461940115048511,1.46241928904324,0.0,1,1.4996099888032097
0.0316,3.5,3.49935695925736,0.046189949958861,1.46181274693362,0.0,0,-1.749678476813033
0.0316,3.5,3.49935695925736,0.046189949958861,1.46181274693362,0.0,1,1.7496784796298552
0.0316,4.0,3.99944632074357,0.0461878690392886,1.46264482652681,0.0,0,-1.9997231602742502
0.0316,4.0,3.99944632074357,0.0461878690392886,1.46264482652681,0.0,1,1.999723160372764
0.0316,4.5,4.49951212668878,0.0461864095399125,1.46311930392831,0.0,0,-2.2497560633426663
0.0316,4.5,4.49951212668878,0.0461864095399125,1.46311930392831,0.0,1,2.249756063346809
0.0316,5.0,4.99956291422762,0.046218715765357,1.46330481876016,0.0,0,-2.4997814571142887
0.0316,5.0,4.99956291422762,0.046218715765357,1.46330481876016,0.0,1,2.4997814571144015
0.0316,5.5,5.49960487468035,0.0461848237740741,1.46337489289486,0.0,0,-2.7498024373408585
0.0316,5.5,5.49960487468035,0.0461848237740741,1.46337489289486,0.0,1,2.749802437342282
0.0316,6.0,5.99963823516665,0.0462174530247594,1.46341153349386,0.0,0,-2.9998191175842024
0.0316,6.0,5.99963823516665,0.0462174530247594,1.46341153349386,0.0,1,2.999819117584881
0.0316,6.5,6.4996669462812,0.0462171418340478,1.46343524952206,0.0,0,-3.2498334731417224
0.0316,6.5,6.4996669462812,0.0462171418340478,1.46343524952206,0.0,1,3.249833473139434
0.0316,7.0,6.99969126155255,0.0462167377728777,1.46344796531779,0.0,0,-3.4998456307776706
0.0316,7.0,6.99969126155255,0.0462167377728777,1.46344796531779,0.0,1,3.499845630776233
0.0316,7.5,7.49971237692003,0.0462165113435575,1.46345318269978,0.0,0,-3.749856188461745
0.0316,7.5,7.49971237692003,0.0462165113435575,1.46345318269978,0.0,1,3.7498561884593564
0.0316,8.0,7.99973057301128,0.04621639979336,1.46346210990616,0.0,0,-3.9998652865077315
0.0316,8.0,7.99973057301128,0.04621639979336,1.46346210990616,0.0,1,3.999865286506253
0.0316,8.5,8.49974680880399,0.046216170529271,1.46346144078813,0.0,0,-4.249873404404503
0.0316,8.5,8.49974680880399,0.046216170529271,1.46346144078813,0.0,1,4.249873404400074
0.0316,9.0,8.99976135371247,0.0461827186290128,1.46346414148152,0.0,0,-4.499880676859225
0.0316,9.0,8.99976135371247,0.0461827186290128,1.46346414148152,0.0,1,4.499880676854317
0.0316,9.5,9.49977408019755,0.046182805738372,1.46346891326616,0.0,0,-4.74988704010229
0.0316,9.5,9.49977408019755,0.046182805738372,1.46346891326616,0.0,1,4.749887040097136
0.0316,10.0,9.99978527802628,0.046215877463805,1.4634719418044,0.0,0,-4.9998926390172285
0.0316,10.0,9.99978527802628,0.046215877463805,1.4634719418044,0.0,1,4.999892639014202
0.0316,10.5,10.4997957420914,0.0461824793087798,1.46346975481613,0.0,0,-5.249897871050442
0.0316,10.5,10.4997957420914,0.0461824793087798,1.46346975481613,0.0,1,5.24989787104528
0.0316,11.0,10.9998048732511,0.0462156775589807,1.46347088628961,0.0,0,-5.499902436630991
0.0316,11.0,10.9998048732511,0.0462156775589807,1.46347088628961,0.0,1,5.499902436626616
