P_max,OmegaP,OmegaM,t_max,Mu,Gamma_e,delta_a,delta_f,number_of_fails,mp.dps,ComputTime
0.033951735665755,0.265533783223009,0.148391871912014,6.13748565871476,0,0.01,21,20.9966694972111,2,25,2346.02707862854
0.0336964806904709,0.273650378168499,0.155751331836961,5.96727777513097,0,0.01,21.5,21.4969877576433,6,25,7404.37687444687
0.0293286163065127,0.178200419413294,0.0977037650206101,7.98600431787632,0,0.01,22,21.9993806328108,8,80,30597.5626938343
0.0356684414321849,0.227591885137288,0.130075131201371,6.81717645472646,0,0.01,22.5,22.4913145842144,8,25,9045.58772230148
0.0351992156800657,0.237781309405031,0.13632074794284,6.5740342565192,0,0.01,23,22.9901466803805,14,25,13891.9631428719
0.0332117735364591,0.293451742420374,0.170234816965103,5.60935156457468,0,0.01,23.5,23.4965096450383,4,25,3990.6173145771
0.0332468514426271,0.294773481238761,0.169579418739414,5.59329700482277,0,0.01,24,23.9957839666065,6,25,9592.81875157356
0.0389828333248571,0.166475055509396,0.091990782653647,8.79999084284939,0,0.01,24.5,24.5039785279814,5,25,5973.53273487091
0.0960624914015333,0.221706397754987,0.124346113853994,6.60182626496026,0,0.0178,0,0,0,25,364.288683652878
0.0542752765381721,0.589060610474064,0.273684804809559,2.88078387252299,0,0.0178,0.5,0.274589482424149,3,25,1135.3096370697
0.0479728772593707,0.218940356979352,0.124703916167871,6.55649435666224,0,0.0178,1,0.976493859119206,1,25,2279.07823109627
0.0480057593219342,0.220537042323001,0.124506492297579,6.58230800190551,0,0.0178,1.5,1.48458203398185,3,25,3367.60320472717
0.0480169929351384,0.221058562720966,0.124435780857239,6.59097701413378,0,0.0178,2,1.98850132240654,1,25,2162.72729277611
0.0480221480238215,0.221295196204201,0.124403301028894,6.59494210414805,0,0.0178,2.5,2.49082519424903,1,25,2225.67546582222
0.0480249368561332,0.22141973914156,0.124385047595006,6.5970948560115,0,0.0178,3,2.99236404051544,7,25,5108.92444634438
0.048026614588062,0.221498211094099,0.124375275468531,6.59831846010435,0,0.0178,3.5,3.49346112590456,1,25,2610.86866402626
0.0480277019916744,0.221547169622958,0.124368223764955,6.5991589445133,0,0.0178,4,3.99428157581229,8,25,5308.76846408844
0.0480284453003686,0.22158236410268,0.124365358549038,6.59965731899174,0,0.0178,4.5,4.49491852686279,6,25,6397.47409081459
