P_max,OmegaA,OmegaB,t_max,Mu,Gamma_e,delta_a,delta_f,number_of_fails,mp.dps,ComputTime
0.638771687813537,0.027327981988548,1.61196336680905,53.1604114616085,52.2122392112918,0.0178,24,23.999968682951,56,60,18931.8173151016
0.641521979325842,0.0260261009052947,1.46277738056768,57.1883943535259,56.1885673867311,0.0178,24.5,24.4999723454554,21,60,9169.12790822983
0.658062281970528,0.0457201897250707,1.42495839327125,32.7030229045152,31.6613622998351,0.0316,0,0,0,25,662.337199211121
0.656143956057029,0.0461346323603882,1.42833496323798,32.5055282601443,31.4734372387136,0.0316,0.5,0.498706131231011,2,50,4575.16063976288
0.651602248526695,0.0461805427144453,1.46286260495934,32.4206399726846,31.4180991230137,0.0316,1,0.998126122107857,23,50,64232.7496466637
0.646455090007314,0.0462040076989169,1.49075383143427,32.4675076088966,31.484992352643,0.0316,1.5,1.49821887323424,3,50,5360.35733532906
0.642965436093934,0.0462067222763593,1.488015926488,32.5729751212271,31.5907921104368,0.0316,2,1.99860828555032,52,50,129985.763728857
0.641623740545181,0.0462004190042225,1.47069231997459,32.6388759463771,31.6474571977158,0.0316,2.5,2.49898364898751,41,50,111809.554059267
0.641402349114697,0.0461940115048511,1.46241928904324,32.6557029295481,31.6586770456122,0.0316,3,2.9992199775993,22,50,38051.4808042049
0.641427453070942,0.046189949958861,1.46181274693362,32.656802964406,31.658330024966,0.0316,3.5,3.49935695925736,48,50,130018.086507082
0.641448869496607,0.0461878690392886,1.46264482652681,32.6564882398817,31.6578028951929,0.0316,4,3.99944632074357,23,60,9133.45668077469
0.641451640675766,0.0461864095399125,1.46311930392831,32.6568742151647,31.6580940788899,0.0316,4.5,4.49951212668878,20,60,8161.35040950775
0.641448050889184,0.046218715765357,1.46330481876016,32.6345601338503,31.6356735067283,0.0316,5,4.99956291422762,84,25,50616.698684454
0.64144386206959,0.0461848237740741,1.46337489289486,32.6578770890879,31.6588904631099,0.0316,5.5,5.49960487468035,57,50,163060.408085585
0.641439645743841,0.0462174530247594,1.46341153349386,32.6355810009528,31.6365153834315,0.0316,6,5.99963823516665,31,25,25988.6687376499
0.641436156113737,0.0462171418340478,1.46343524952206,32.6358934224767,31.6367662792481,0.0316,6.5,6.4996669462812,74,25,46575.4342751503
0.641433195504955,0.0462167377728777,1.46344796531779,32.6362595670817,31.6370829505013,0.0316,7,6.99969126155255,28,25,24963.2874188423
0.641430693728803,0.0462165113435575,1.46345318269978,32.6364299272734,31.6372124316807,0.0316,7.5,7.49971237692003,37,25,32168.465512991
0.641428575792139,0.04621639979336,1.46346210990616,32.6365692935018,31.6373174077198,0.0316,8,7.99973057301128,20,25,18322.7511813641
0.641426774944832,0.046216170529271,1.46346144078813,32.6367623293604,31.6374832094445,0.0316,8.5,8.49974680880399,34,25,29039.8716442585
0.641425446391201,0.0461827186290128,1.46346414148152,32.6597520670972,31.6604472150113,0.0316,9,8.99976135371247,35,60,11739.9159519672
0.641424124530475,0.046182805738372,1.46346891326616,32.6599502474759,31.660626561952,0.0316,9.5,9.49977408019755,54,60,16755.689820528
0.641422766364665,0.046215877463805,1.4634719418044,32.6371257034358,31.6377839472241,0.0316,10,9.99978527802628,25,25,22639.9255075455
0.641421986682715,0.0461824793087798,1.46346975481613,32.6600248792292,31.6606684336617,0.0316,10.5,10.4997957420914,61,60,19979.3977556229
0.641420899197955,0.0462156775589807,1.46347088628961,32.6372963133107,31.6379267653888,0.0316,11,10.9998048732511,42,25,35885.6913497448
