Gamma_e,delta_a,delta_f,OmegaP,OmegaM,Mu,peak_index,peak_position
0.0178,23.5,23.4967593876147,0.295603737154168,0.170240504680457,0.0,1,11.748379693809284
0.0178,24.0,23.990428529945,0.266410566088602,0.149579653289414,0.0,0,-11.995214264975079
0.0178,24.0,23.990428529945,0.266410566088602,0.149579653289414,0.0,1,11.995214264975079
0.0178,24.5,24.4951526848623,0.297794346238002,0.168849578340537,0.0,0,-12.247576342433334
0.0178,24.5,24.4951526848623,0.297794346238002,0.168849578340537,0.0,1,12.247576342433334
0.0316,1.0,0.958460613742514,0.270140829030818,0.161540146068831,0.0,0,-0.47923228843360494
0.0316,1.0,0.958460613742514,0.270140829030818,0.161540146068831,0.0,1,0.4792322884336049
0.0316,1.5,1.47359280163905,0.271605155262179,0.15964702315873,0.0,0,-0.7367961031262916
0.0316,1.5,1.47359280163905,0.271605155262179,0.15964702315873,0.0,1,0.7367961031262917
0.0316,2.0,1.98048886853175,0.272089176054395,0.15907714188065,0.0,0,-0.9902451807919304
0.0316,2.0,1.98048886853175,0.272089176054395,0.15907714188065,0.0,1,0.9902451807919302
0.0316,2.5,2.48449436434652,0.272304962151398,0.158824682847159,0.0,0,-1.2422471821733503
0.0316,2.5,2.48449436434652,0.272304962151398,0.158824682847159,0.0,1,1.2422471821733505
0.0316,3.0,2.98712477340018,0.272424003023614,0.158693191834255,0.0,0,-1.4935623867000907
0.0316,3.0,2.98712477340018,0.272424003023614,0.158693191834255,0.0,1,1.4935623867000911
0.0316,3.5,3.4889883087149,0.272494205307326,0.158612891352616,0.0,0,-1.7444941543574441
0.0316,3.5,3.4889883087149,0.272494205307326,0.158612891352616,0.0,1,1.744494154357444
0.0316,4.0,3.99037660833301,0.27254103619667,0.158563462382987,0.0,0,-1.9951883041665248
0.0316,4.0,3.99037660833301,0.27254103619667,0.158563462382987,0.0,1,1.9951883041665257
0.0316,4.5,4.49145523789882,0.272570602340981,0.158527528801808,0.0,0,-2.245727618949437
0.0316,4.5,4.49145523789882,0.272570602340981,0.158527528801808,0.0,1,2.2457276189494375
0.0316,5.0,4.99231402380013,0.2725927666251,0.158502639145085,0.0,0,-2.4961570119001473
0.0316,5.0,4.99231402380013,0.2725927666251,0.158502639145085,0.0,1,2.4961570119001473
0.0316,5.5,5.49301636353091,0.272607244558415,0.158482555794917,0.0,0,-2.7465081817654786
0.0316,5.5,5.49301636353091,0.272607244558415,0.158482555794917,0.0,1,2.746508181765478
0.0316,6.0,5.99359849203398,0.272631714868261,0.158480980073583,0.0,0,-2.9967992460170314
0.0316,6.0,5.99359849203398,0.272631714868261,0.158480980073583,0.0,1,2.9967992460170314
0.0316,6.5,6.49408270673366,0.272792329009808,0.158608280123926,0.0,0,-3.2470413533669
0.0316,6.5,6.49408270673366,0.272792329009808,0.158608280123926,0.0,1,3.2470413533669005
0.0316,7.0,6.99451404818787,0.27263976612314,0.158506567674144,0.0,0,-3.4972570240939915
0.0316,7.0,6.99451404818787,0.27263976612314,0.158506567674144,0.0,1,3.4972570240939915
0.0316,7.5,7.4949562705351,0.271251324930827,0.157463020068619,0.0,0,-3.747478135267635
0.0316,7.5,7.4949562705351,0.271251324930827,0.157463020068619,0.0,1,3.747478135267635
0.0316,8.0,7.99539664462951,0.268662116474565,0.155695447812665,0.0,0,-3.9976983223148435
0.0316,8.0,7.99539664462951,0.268662116474565,0.155695447812665,0.0,1,3.997698322314843
0.0316,8.5,8.49582446713333,0.264762455779563,0.153420716653688,0.0,0,-4.2479122335667965
0.0316,8.5,8.49582446713333,0.264762455779563,0.153420716653688,0.0,1,4.2479122335667965
0.0316,9.0,8.99623890273311,0.259225506502778,0.150727395814302,0.0,0,-4.498119451366687
0.0316,9.0,8.99623890273311,0.259225506502778,0.150727395814302,0.0,1,4.498119451366687
0.0316,9.5,9.49819809087776,0.199288775805993,0.115421564775452,0.0,0,-4.749099045439161
0.0316,9.5,9.49819809087776,0.199288775805993,0.115421564775452,0.0,1,4.749099045439162
0.0316,10.0,9.99849558258558,0.189996418585832,0.110125213332644,0.0,0,-4.999247791293152
0.0316,10.0,9.99849558258558,0.189996418585832,0.110125213332644,0.0,1,4.999247791293153
0.0316,10.5,10.4963483301899,0.272665330865342,0.158421226418661,0.0,0,-5.248174165095161
0.0316,10.5,10.4963483301899,0.272665330865342,0.158421226418661,0.0,1,5.24817416509516
0.0316,11.0,10.9977995921393,0.220672817300311,0.133635549309168,0.0,0,-5.498899796069986
0.0316,11.0,10.9977995921393,0.220672817300311,0.133635549309168,0.0,1,5.498899796069986
0.0316,11.5,11.4966671842461,0.272670107523564,0.158417715016321,0.0,0,-5.748333592123313
0.0316,11.5,11.4966671842461,0.272670107523564,0.158417715016321,0.0,1,5.748333592123313
0.0316,12.0,11.9980442919778,0.211610896972292,0.12581086209259,0.0,0,-5.999022145989381
